raceId,driverId,stint_id,stint_start_lap,stint_end_lap,stint_length,mean_lap_time_ms,median_lap_time_ms,std_lap_time_ms,max_tyre_age,degradation_slope_ms_per_lap
1029,807,1,1,27,27,75456.0,75456.0,1978.816348123581,27,-54.80647130647131
1029,807,2,28,44,17,74295.0,74295.0,4588.649940822655,17,-293.3651960784316
1029,807,3,45,53,9,73989.0,73989.0,10949.63751429445,9,678.4500000000004
1029,807,4,54,71,18,79811.0,79811.0,16287.753336028089,18,563.1486068111454
1029,815,1,1,17,17,75378.0,75378.0,2290.823883710066,17,-163.91176470588246
1029,815,2,18,45,28,74154.5,74154.5,3278.4857282951384,28,-105.77203065134097
1029,815,3,46,71,26,76868.0,76868.0,15866.253165178558,26,526.4382905982903
1029,817,1,1,8,8,76151.0,76151.0,2987.5743595049507,8,-342.4404761904765
1029,817,2,9,40,32,74222.5,74222.5,4467.652554844261,32,-138.99083577712608
1029,817,3,41,71,31,74010.0,74010.0,15641.795214393782,31,552.9862903225805
1029,822,1,1,26,26,74150.5,74150.5,1188.6645337714729,26,5.233846153846141
1029,822,2,27,41,15,72736.0,72736.0,4910.888666548866,15,-335.2678571428575
1029,822,3,42,51,10,73498.5,73498.5,5614.884687645468,10,-703.2181818181817
1029,825,1,1,27,27,75574.0,75574.0,2524.662176492753,27,-56.401709401709404
1029,825,2,28,53,26,73922.0,73922.0,6480.309163565011,26,113.95487179487179
1029,825,3,54,71,18,80544.5,80544.5,16410.40479480661,18,247.71104231166134
1029,826,1,1,23,23,75511.0,75511.0,2246.994128307466,23,-89.02569169960478
1029,826,2,24,46,23,73968.0,73968.0,3501.10873630043,23,-99.8735177865613
1029,826,3,47,71,25,77625.0,77625.0,15201.952723581271,25,497.91769230769205
1029,830,1,1,21,21,73611.0,73611.0,1140.614504387457,21,54.02077922077921
1029,830,2,22,44,23,72748.0,72748.0,3658.9446808971584,23,-153.77667984189728
1029,830,3,45,54,10,71885.5,71885.5,7320.585214159983,10,103.61818181818187
1029,830,4,55,71,17,85815.0,85815.0,24099.736715061725,17,-1130.968137254902
1029,832,1,1,29,29,75174.0,75174.0,2063.618429998759,29,-58.43891625615762
1029,832,2,30,71,42,74071.5,74071.5,14244.423263174418,42,457.8830726845474
1029,840,1,1,28,28,75390.5,75390.5,1782.1173732418913,28,-25.32813355227147
1029,840,2,29,53,25,73966.0,73966.0,5647.521563187401,25,55.71307692307686
1029,840,3,54,65,12,78081.5,78081.5,13133.016283282743,12,-2937.552447552446
1029,841,1,1,20,20,75209.5,75209.5,1882.0877678231334,20,-50.22781954887225
1029,841,2,21,46,26,74042.0,74042.0,3449.797767093915,26,-105.71418803418791
1029,841,3,47,71,25,76357.0,76357.0,16420.399954731107,25,481.7430769230768
1029,842,1,1,22,22,74904.0,74904.0,1475.2657079627754,22,-3.9898362507058773
1029,842,2,23,47,25,73902.0,73902.0,3597.2105892390196,25,-122.64999999999992
1029,842,3,48,71,24,76921.0,76921.0,18036.2951668577,24,417.9917391304348
1029,844,1,1,29,29,74319.0,74319.0,1899.7006920069864,29,-5.455665024630518
1029,844,2,30,54,25,73115.0,73115.0,7088.592182278979,25,166.43153846153848
1029,844,3,55,65,11,74415.0,74415.0,18080.08009988291,11,-3982.736363636365
1029,846,1,1,27,27,75271.0,75271.0,1713.019316729143,27,-34.44932844932841
1029,846,2,28,53,26,74226.0,74226.0,5465.100674700821,26,89.27794871794872
1029,846,3,54,71,18,79700.5,79700.5,18075.79720477731,18,29.46336429308557
1029,847,1,1,23,23,76907.0,76907.0,2092.9910741242147,23,-76.29743083003949
1029,847,2,24,54,31,75234.0,75234.0,5631.792419653313,31,145.21290322580649
1029,847,3,55,66,12,75475.0,75475.0,6915.8072558451195,12,-144.1748251748251
1029,847,4,67,71,5,98854.0,98854.0,22498.933814738866,5,-9405.9
1029,848,1,1,24,24,74388.0,74388.0,1570.9486973744908,24,18.983043478260836
1029,848,2,25,50,26,72897.5,72897.5,3898.1691546752463,26,-81.81025641025616
1029,848,3,51,71,21,84192.0,84192.0,19697.361781769272,21,347.57012987012973
1030,1,1,1,26,26,102832.0,102832.0,609.1502984927833,26,11.792136752136754
1030,1,2,27,55,29,101653.0,101653.0,3997.1954447644066,29,-152.7423645320197
1030,8,1,1,22,22,105786.5,105786.5,2034.4739728785812,22,-147.15527950310573
1030,8,2,23,54,32,103620.0,103620.0,3691.060286599842,32,-109.01851173020553
1030,9,1,1,24,24,106972.5,106972.5,2249.263781322906,24,-110.1078260869565
1030,9,2,25,53,29,105494.0,105494.0,3943.8740281294104,29,-170.57931034482783
1030,20,1,1,12,12,103894.0,103894.0,1484.1136013857517,12,-33.78321678321676
1030,20,2,13,38,26,103126.0,103126.0,4742.416357155432,26,-229.04957264957264
1030,20,3,39,55,17,101455.0,101455.0,5113.863137704851,17,-415.9044117647061
1030,154,1,1,18,18,106230.0,106230.0,2565.9761357837647,18,-219.24664602683157
1030,154,2,19,54,36,104091.5,104091.5,3762.1130219176794,36,-108.22664092664093
1030,807,1,1,18,18,105406.0,105406.0,1942.3037833789285,18,-141.69865841073258
1030,807,2,19,54,36,104299.0,104299.0,3424.6399685639535,36,-102.80128700128712
1030,815,1,1,37,37,104869.0,104869.0,1583.785832922042,37,-74.05120910384065
1030,815,2,38,54,17,103144.0,103144.0,4749.951144485594,17,-322.96568627451
1030,817,1,1,11,11,105508.0,105508.0,1985.2988325553038,11,-228.55454545454552
1030,817,2,12,42,31,104605.0,104605.0,3562.5171800378057,31,-146.29354838709676
1030,817,3,43,54,12,101708.5,101708.5,5816.175711676093,12,-662.3636363636357
1030,822,1,1,29,29,104362.0,104362.0,2440.33505230075,29,-196.60886699507395
1030,822,2,30,55,26,101406.0,101406.0,3945.17443662313,26,-179.4064957264956
1030,825,1,1,20,20,106005.0,106005.0,1581.375816712846,20,-135.74736842105267
1030,825,2,21,54,34,104274.0,104274.0,3355.996572104716,34,-71.98181818181827
1030,826,1,1,40,40,105406.0,105406.0,2134.6113103218136,40,-120.1722326454034
1030,826,2,41,54,14,103215.5,103215.5,5525.587089289126,14,-503.49010989010964
1030,830,1,1,25,25,103245.0,103245.0,975.6349846809212,25,-35.30692307692308
1030,830,2,26,55,30,101775.5,101775.5,3755.40540444359,30,-156.56195773081217
1030,832,1,1,12,12,105563.5,105563.5,1715.059825354627,12,-153.9965034965034
1030,832,2,13,41,29,104477.0,104477.0,3927.2409193880962,29,-178.5940886699507
1030,832,3,42,54,13,102262.0,102262.0,5070.055824554849,13,-485.87362637362617
1030,840,1,1,5,5,108048.0,108048.0,3085.622984098997,5,-1168.4
1030,840,2,6,23,18,105534.5,105534.5,6280.893271728924,18,-270.5232198142413
1030,840,3,24,45,22,104461.5,104461.5,4687.727936160884,22,-55.61151891586679
1030,841,1,1,8,8,106647.0,106647.0,2785.8423161970745,8,-504.60714285714323
1030,841,2,9,26,18,106113.0,106113.0,4755.570028992696,18,-267.1289989680081
1030,841,3,27,54,28,104214.0,104214.0,4083.182594399416,28,-116.63957307060761
1030,842,1,1,53,53,104837.0,104837.0,10880.59683218381,53,-234.4592807611677
1030,844,1,1,12,12,103317.5,103317.5,932.992395792196,12,-30.71678321678315
1030,844,2,13,38,26,102971.5,102971.5,4082.349852908064,26,-126.06461538461532
1030,844,3,39,55,17,101712.0,101712.0,4738.758111697247,17,-264.9730392156863
1030,846,1,1,8,8,105320.0,105320.0,1969.1867066670666,8,-206.2619047619049
1030,846,2,9,54,46,104288.0,104288.0,3424.8762311287633,46,-92.66278137526976
1030,847,1,1,32,32,106757.5,106757.5,2127.806479763272,32,-93.32001466275663
1030,847,2,33,54,22,103980.0,103980.0,4686.194784748715,22,-323.76453980801807
